"rcv","sarcv","trunc_rcv","trunc_sarcv"
"0.117 (0.074, 0.173)","0.110 (0.075, 0.165)","0.125 (0.084, 0.212)","0.113 (0.083, 0.192)"
"2 (2, 2)","2 (2, 2)","2 (2, 2)","2 (2, 2)"
