"rcv","sarcv","trunc_rcv","trunc_sarcv"
"0.304 (0.286, 0.332)","0.147 (0.110, 0.191)","0.438 (0.312, 1.121)","0.148 (0.114, 0.224)"
"49 (48, 50)","5 (4, 5)","46 (43, 48)","5 (4, 5)"
