"rcv","sarcv","rcv_-(1)","rcv_-(2)","rcv_-(3)","sarcv_-(1)","sarcv_-(2)","sarcv_-(3)"
"0.115 (0.073, 0.173)","0.115 (0.072, 0.172)","0.121 (0.075, 0.185)","0.439 (0.394, 0.484)","0.129 (0.079, 0.201)","0.120 (0.075, 0.183)","0.439 (0.394, 0.485)","0.126 (0.078, 0.197)"
"2 (2, 2)","2 (2, 2)","2 (2, 2)","2 (2, 2)","2 (2, 2)","2 (2, 2)","2 (2, 2)","2 (2, 2)"
