"rcv","sarcv","trunc_rcv","trunc_sarcv"
"0.115 (0.073, 0.173)","0.115 (0.072, 0.172)","0.129 (0.079, 0.201)","0.126 (0.078, 0.197)"
"2 (2, 2)","2 (2, 2)","2 (2, 2)","2 (2, 2)"
