"rcv","sarcv","trunc_rcv","trunc_sarcv"
"0.305 (0.283, 0.333)","0.134 (0.100, 0.182)","0.531 (0.320, 1.180)","0.150 (0.107, 0.223)"
"48 (47, 50)","5 (5, 5)","46 (42, 48)","5 (4, 5)"
