"rcv","sarcv","rcv_-(1)","rcv_-(2)","rcv_-(3)","sarcv_-(1)","sarcv_-(2)","sarcv_-(3)"
"0.305 (0.283, 0.333)","0.134 (0.100, 0.182)","0.307 (0.283, 0.340)","0.661 (0.625, 0.696)","0.531 (0.320, 1.180)","0.141 (0.104, 0.197)","0.394 (0.346, 0.442)","0.150 (0.107, 0.223)"
"48 (47, 50)","5 (5, 5)","48 (47, 49)","43 (41, 45)","46 (42, 48)","5 (4, 5)","6 (6, 6)","5 (4, 5)"
